,/'DataLog'/'Speed',/'DataLog'/'FrontBPS',/'DataLog'/'RearBPS',/'DataLog'/'Active_Regen_Flag ',/'DataLog'/'RegenStatus',/'DataLog'/'Regen_Flag',/'DataLog'/'Regen_Limit',/'DataLog'/'Rear_Bps_Value',/'DataLog'/'Front_BPS_Value',/'DataLog'/'Throttle',/'DataLog'/'Torque_Act',/'DataLog'/'Kalman_Filter_SOC',/'DataLog'/'STA_BrakeStatus ',/'DataLog'/'Vehicle_Speed',/'DataLog'/'Throttle(%)'
1.02,1280.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,9.0,93.0,1.0,1.0,100.0
1.03,1512.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,16.0,6.0,93.0,1.0,1.0,100.0
1.04,1689.0,9.9,19.7,0.0,1.0,0.0,10.0,0.0,0.0,42.0,4.0,93.0,1.0,1.0,0.0
1.05,1817.0,0.5,1.2,0.0,1.0,0.0,10.0,0.0,0.0,13.0,2.0,93.0,1.0,1.0,77.0
1.06,1917.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,100.0,0.0,93.0,1.0,1.0,0.0
1.07,1930.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,32.0,0.0,93.0,1.0,1.0,78.0
1.08,1937.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,30.0
1.09,1930.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,69.0,0.0,93.0,1.0,1.0,100.0
1.1,1899.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,-0.0,93.0,1.0,1.0,0.0
1.11,1866.0,8.0,15.9,0.0,0.0,0.0,10.0,0.0,0.0,48.0,-0.0,93.0,1.0,1.0,12.0
1.12,1836.0,0.9,2.2,0.0,0.0,0.0,10.0,0.0,0.0,65.0,0.0,93.0,1.0,1.0,70.0
1.1300000000000001,1820.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,99.0,0.0,93.0,1.0,1.0,2.0
1.1400000000000001,1794.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,0.0,93.0,1.0,1.0,100.0
1.1500000000000001,1761.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,100.0
1.16,1747.0,5.8,11.6,0.0,0.0,1.0,19.0,0.0,0.0,59.0,2.0,93.0,1.0,1.0,11.0
1.17,1741.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,0.0,93.0,1.0,1.0,26.0
1.18,1733.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,44.0,-0.0,93.0,1.0,1.0,36.0
1.19,1701.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,64.0,0.0,93.0,1.0,1.0,100.0
1.2,1677.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,98.0,0.0,93.0,1.0,1.0,100.0
1.21,1654.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,24.0,0.0,93.0,1.0,1.0,100.0
1.22,1634.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,74.0,0.0,93.0,1.0,1.0,100.0
1.23,1616.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,45.0,0.0,93.0,1.0,1.0,100.0
1.24,1595.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,89.0,-0.0,93.0,1.0,1.0,0.0
1.25,1584.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,15.0,0.0,93.0,1.0,1.0,45.0
1.26,1559.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,33.0,0.0,93.0,1.0,1.0,100.0
1.27,1521.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,89.0,-0.0,93.0,1.0,1.0,55.0
1.28,1507.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,-0.0,93.0,1.0,1.0,84.0
1.29,1479.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,93.0,1.0,1.0,100.0
1.3,1453.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,100.0
1.31,1412.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,41.0,-0.0,93.0,1.0,1.0,17.0
1.32,1375.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,-1.0,93.0,1.0,1.0,25.0
1.33,1353.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,-1.0,93.0,1.0,1.0,66.0
1.34,1311.0,5.1,10.1,0.0,0.0,0.0,10.0,0.0,0.0,100.0,0.0,93.0,1.0,1.0,9.0
1.35,1264.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,0.0,93.0,1.0,1.0,34.0
1.36,1240.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,0.0,93.0,1.0,1.0,100.0
1.37,1220.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,62.0,0.0,93.0,1.0,1.0,22.0
1.3800000000000001,1216.0,0.9,2.3,0.0,0.0,0.0,10.0,0.0,0.0,62.0,4.0,93.0,1.0,1.0,27.0
1.3900000000000001,1227.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,4.0,93.0,1.0,1.0,100.0
1.4000000000000001,1328.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,20.0,6.0,93.0,1.0,1.0,5.0
1.41,1446.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,88.0,7.0,93.0,1.0,1.0,50.0
1.42,1512.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,5.0,93.0,1.0,1.0,26.0
1.43,1641.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,6.0,93.0,1.0,1.0,16.0
1.44,1849.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,6.0,93.0,1.0,1.0,100.0
1.45,2003.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,56.0,6.0,93.0,1.0,1.0,37.0
1.46,2160.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,6.0,93.0,1.0,1.0,100.0
1.47,2319.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,91.0,6.0,93.0,1.0,1.0,100.0
1.48,2473.0,0.3,0.7,0.0,0.0,0.0,10.0,0.0,0.0,25.0,6.0,93.0,1.0,1.0,0.0
1.49,2625.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,88.0,6.0,93.0,1.0,1.0,0.0
1.5,2770.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,4.0,93.0,1.0,1.0,22.0
1.51,2902.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,79.0,5.0,93.0,1.0,1.0,63.0
1.52,3033.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,16.0,5.0,93.0,1.0,1.0,100.0
1.53,3098.0,2.7,6.2,0.0,0.0,1.0,10.0,0.0,0.0,23.0,5.0,93.0,1.0,1.0,0.0
